Reconstruction lambda,SNR,Data length,Log MSE on Weights
0,1000,1,1.1933
0,1000,2,0.37431
0,1000,3,0.45037
0,1000,4,0.047027
0,1000,5,0.65178
0,1000,6,-0.16916
0,1000,7,0.98558
0,1000,8,0.94615
0,1000,9,0.16394
0,1000,10,0.075239
0,1000,11,0.3271
0,1000,12,0.15096
0,1000,13,0.034182
0,1000,14,0.058027
0,1000,15,0.20444
0,1000,16,0.43571
0,1000,17,0.62044
0,1000,18,0.31616
0,1000,19,0.48324
0,1000,20,1.0677
0,1000,21,1.5789
0,1000,22,0.46074
0,1000,23,0.51641
0,1000,24,0.018257
0,1000,25,Ill-conditioned
0,1000,26,0.19405
0,1000,27,0.37327
0,1000,28,0.41759
0,1000,29,0.34892
0,1000,30,0.72093
0,1000,31,0.34302
0,1000,32,0.65975
0,1000,33,0.37426
0,1000,34,1.2098
0,1000,35,0.83887
0,1000,36,0.84247
0,1000,37,0.42874
0,1000,38,0.090506
0,1000,39,0.97896
0,1000,40,0.56497
0,1000,41,0.19548
0,1000,42,0.38027
0,1000,43,0.37071
0,1000,44,0.89167
0,1000,45,0.46786
0,1000,46,0.67985
0,1000,47,0.68358
0,1000,48,1.7537
0,1000,49,0.41376
0,1000,50,0.5608
0,1000,51,0.20193
0,1000,52,0.32617
0,1000,53,0.14325
0,1000,54,0.46581
0,1000,55,0.22022
0,1000,56,0.24661
0,1000,57,0.40462
0,1000,58,0.35491
0,1000,59,0.26579
0,1000,60,0.1385
0,1000,61,0.83278
0,1000,62,0.66152
0,1000,63,0.70107
0,1000,64,0.83175
0,1000,65,0.50229
0,1000,66,0.041614
0,1000,67,0.31514
0,1000,68,0.15282
0,1000,69,-0.20071
0,1000,70,1.1471
0,1000,71,-0.62758
0,1000,72,-0.051317
0,1000,73,-0.071248
0,1000,74,-0.054739
0,1000,75,0.24179
0,1000,76,-0.37976
0,1000,77,-0.11983
0,1000,78,-0.072175
0,1000,79,-0.015951
0,1000,80,-0.30157
0,1000,81,0.64818
0,1000,82,-0.079447
0,1000,83,-0.4484
0,1000,84,-0.6213
0,1000,85,-0.35551
0,1000,86,-0.19305
0,1000,87,0.45516
0,1000,88,0.49665
0,1000,89,-0.44434
0,1000,90,-0.29221
0,1000,91,-0.385
0,1000,92,0.87647
0,1000,93,0.20539
0,1000,94,1.0004
0,1000,95,1.1792
0,1000,96,1.1277
0,1000,97,0.52648
0,1000,98,-0.22322
0,1000,99,0.45022
0,1000,100,0.48128
0,10,1,1.1594
0,10,2,1.4475
0,10,3,6.4307
0,10,4,8.032
0,10,5,10.1709
0,10,6,13.0128
0,10,7,12.3489
0,10,8,12.6551
0,10,9,11.9179
0,10,10,12.2293
0,10,11,12.0345
0,10,12,11.5448
0,10,13,11.3954
0,10,14,11.7664
0,10,15,11.5027
0,10,16,21.7881
0,10,17,21.9871
0,10,18,22.3906
0,10,19,22.1052
0,10,20,21.4698
0,10,21,21.7074
0,10,22,20.4371
0,10,23,21.1365
0,10,24,21.0708
0,10,25,20.2711
0,10,26,20.2457
0,10,27,18.6393
0,10,28,18.2102
0,10,29,18.4946
0,10,30,17.3161
0,10,31,18.3482
0,10,32,18.4825
0,10,33,17.9012
0,10,34,17.7412
0,10,35,17.8231
0,10,36,17.7727
0,10,37,17.2983
0,10,38,16.2565
0,10,39,16.2152
0,10,40,16.2658
0,10,41,16.2767
0,10,42,16.2277
0,10,43,16.0444
0,10,44,15.8214
0,10,45,16.1465
0,10,46,15.1944
0,10,47,15.2516
0,10,48,15.7004
0,10,49,15.7127
0,10,50,15.7138
0,10,51,13.1047
0,10,52,13.6504
0,10,53,14.0598
0,10,54,13.9184
0,10,55,14.0337
0,10,56,13.4542
