Reconstruction lambda,SNR,Data length,Log MSE on Weights,Penalty,OLS,Cost
0.005,1000,1,1.3314,0.0056483,3.431e-07,0.0056486
0.005,1000,2,2.438,0.0057092,8.2268e-06,0.0057173
0.005,1000,3,3.4146,0.00576,3.8727e-05,0.0057987
0.005,1000,4,3.4146,0.0057701,0.00011389,0.005884
0.005,1000,5,2.6321,0.0057738,0.00026307,0.0060368
0.005,1000,6,2.4038,0.0057997,0.00052264,0.0063223
0.005,1000,7,2.6294,0.0060205,0.00084061,0.0068611
0.005,1000,8,2.8491,0.0068405,0.00067798,0.0075181
0.005,1000,9,2.9494,0.0075781,0.00053955,0.0081175
0.005,1000,10,2.9818,0.008188,0.00039127,0.0085788
0.005,1000,11,2.9474,0.0086052,0.00033056,0.0089355
0.005,1000,12,2.8819,0.0089337,0.00031089,0.0092434
0.005,1000,13,2.8303,0.0092186,0.00028747,0.0095055
0.005,1000,14,2.816,0.0094558,0.00028336,0.0097388
0.005,1000,15,2.8526,0.0095051,0.00028954,0.0097932
0.005,1000,16,2.7335,0.0096731,0.00024443,0.0099175
0.005,1000,17,2.7161,0.0098453,0.00017204,0.010017
0.005,1000,18,2.7051,0.0099204,0.00017056,0.010091
0.005,1000,19,2.6986,0.010003,0.0001846,0.010187
0.005,1000,20,2.9286,0.010079,0.00020374,0.010282
0.005,1000,21,3.1674,0.01014,0.00023103,0.010371
0.005,1000,22,2.6936,0.010194,0.00026761,0.010462
0.005,1000,23,2.7007,0.010244,0.00031106,0.010555
0.005,1000,24,2.7111,0.010287,0.00036452,0.010651
0.005,1000,25,2.7211,0.010102,0.00042509,0.010527
0.005,1000,26,2.7229,0.0099381,0.00049634,0.010434
0.005,1000,27,2.738,0.0099263,0.00058093,0.010507
0.005,1000,28,2.7558,0.0099482,0.00067706,0.010625
0.005,1000,29,2.7752,0.0096987,0.00078686,0.010486
0.005,1000,30,2.7966,0.0096249,0.00091075,0.010536
0.005,1000,31,2.8191,0.0092229,0.0010518,0.010274
0.005,1000,32,2.8427,0.0095659,0.00078523,0.010351
0.005,1000,33,2.9263,0.0098973,0.00029866,0.010195
0.005,1000,34,2.9134,0.010003,0.00011128,0.010113
0.005,1000,35,3.0324,0.0099421,4.0984e-05,0.0099827
0.005,1000,36,2.9921,0.0099314,3.6336e-05,0.0099662
0.005,1000,37,1.2788,0.0099371,3.3115e-05,0.0099693
0.005,1000,38,1.2829,0.0099423,3.0236e-05,0.0099724
0.005,1000,39,1.285,0.0099475,2.8353e-05,0.0099756
0.005,1000,40,1.2849,0.0099525,2.6383e-05,0.0099787
0.005,1000,41,1.2927,0.0099574,2.5597e-05,0.009982
0.005,1000,42,1.2907,0.0099621,2.346e-05,0.0099851
0.005,1000,43,1.2926,0.0099666,2.2117e-05,0.0099881
0.005,1000,44,1.2858,0.0099712,2.0575e-05,0.0099912
0.005,1000,45,1.2837,0.0099755,1.9398e-05,0.0099942
0.005,1000,46,1.2856,0.0099796,1.8261e-05,0.0099973
0.005,1000,47,0.97777,0.0099836,1.7221e-05,0.01
0.005,1000,48,0.98761,0.0099874,1.6183e-05,0.010003
0.005,1000,49,1.0016,0.0099912,1.5396e-05,0.010006
0.005,1000,50,0.8994,0.0099952,1.5513e-05,0.01001
0.005,1000,51,0.91031,0.0099987,1.3812e-05,0.010012
0.005,1000,52,0.91343,0.010003,1.3386e-05,0.010016
0.005,1000,53,0.91319,0.010006,1.228e-05,0.010018
0.005,1000,54,0.91293,0.01001,1.1703e-05,0.010021
0.005,1000,55,0.91268,0.010013,1.1165e-05,0.010024
0.005,1000,56,0.91244,0.010017,1.0963e-05,0.010027
0.005,1000,57,0.9122,0.01002,1.0345e-05,0.01003
0.005,1000,58,0.91197,0.010023,9.8402e-06,0.010033
0.005,1000,59,0.91174,0.010027,9.3801e-06,0.010036
0.005,1000,60,0.91151,0.01003,8.9541e-06,0.010039
0.005,1000,61,0.91129,0.010033,8.521e-06,0.010042
0.005,1000,62,0.91106,0.010036,8.1598e-06,0.010045
0.005,1000,63,0.91084,0.01004,7.8643e-06,0.010047
0.005,1000,64,0.91062,0.010043,7.5025e-06,0.01005
0.005,1000,65,0.9104,0.010046,7.2114e-06,0.010053
0.005,1000,66,0.91019,0.010049,7.0062e-06,0.010056
0.005,1000,67,0.90997,0.010052,6.7467e-06,0.010059
0.005,1000,68,0.90976,0.010055,6.5e-06,0.010062
0.005,1000,69,0.90955,0.010059,6.5929e-06,0.010065
0.005,1000,70,0.90933,0.010062,6.0321e-06,0.010068
0.005,1000,71,0.90931,0.010065,5.736e-06,0.010071
0.005,1000,72,0.90965,0.010068,5.604e-06,0.010074
0.005,1000,73,0.91011,0.010072,6.4214e-06,0.010077
0.005,1000,74,0.91112,0.010075,5.2507e-06,0.01008
0.005,1000,75,0.91298,0.010078,5.25e-06,0.010083
0.005,1000,76,0.91464,0.010081,5.0849e-06,0.010086
0.005,1000,77,0.91603,0.010084,4.9261e-06,0.010089
0.005,1000,78,0.91767,0.010087,4.782e-06,0.010092
0.005,1000,79,1.045,0.010091,4.6438e-06,0.010095
0.005,1000,80,1.0639,0.010094,4.5032e-06,0.010098
0.005,1000,81,1.3563,0.010097,4.3674e-06,0.010102
0.005,1000,82,1.4239,0.010101,4.2347e-06,0.010105
0.005,1000,83,1.4387,0.010104,4.1147e-06,0.010108
0.005,1000,84,1.4531,0.010108,3.9096e-06,0.010112
0.005,1000,85,1.4662,0.010111,3.7244e-06,0.010115
0.005,1000,86,1.478,0.010115,3.8001e-06,0.010118
0.005,1000,87,1.4897,0.010118,3.7e-06,0.010122
0.005,1000,88,1.4983,0.010122,3.3427e-06,0.010125
0.005,1000,89,1.507,0.010126,3.3882e-06,0.010129
0.005,1000,90,1.5151,0.010129,3.4014e-06,0.010132
0.005,1000,91,1.5211,0.010133,3.2019e-06,0.010136
0.005,1000,92,1.3388,0.010137,3.1719e-06,0.01014
0.005,1000,93,1.343,0.010141,3.2305e-06,0.010144
0.005,1000,94,1.3484,0.010145,3.0258e-06,0.010148
0.005,1000,95,1.354,0.010149,2.9906e-06,0.010152
0.005,1000,96,1.3603,0.010153,2.8655e-06,0.010156
0.005,1000,97,1.3143,0.010157,3.1921e-06,0.01016
0.005,1000,98,1.2907,0.010161,2.7971e-06,0.010164
0.005,1000,99,1.2934,0.010166,2.7175e-06,0.010168
0.005,1000,100,1.3014,0.01017,2.6541e-06,0.010173
