Reconstruction lambda,SNR,Data points,Fisher information, RNMSE
0.005,0,1,0,1.0518
0.005,0,2,1.3797e-275,61.8961
0.005,0,3,9.0421e-246,1.0349
0.005,0,4,5.8393e-223,1.237
0.005,0,5,1.548e-204,1.3914
0.005,0,6,1.0962e-187,2.9278e-05
0.005,0,7,1.2431e-171,2.7631e-05
0.005,0,8,4.4207e-156,1.6011e-05
0.005,0,9,3.5801e-141,1.2892e-05
0.005,0,10,9.9978e-127,1.5116e-05
0.005,0,11,3.2688e-112,1.4931e-05
0.005,0,12,3.0404e-99,1.0463e-05
0.005,0,13,3.235e-87,6.8858e-06
0.005,0,14,1.2506e-75,1.1368e-05
0.005,0,15,1.913e-64,9.3008e-06
0.005,0,16,1.3056e-53,9.2034e-06
0.005,0,17,3.1779e-52,9.1131e-06
0.005,0,18,2.1114e-51,9.4197e-06
0.005,0,19,1.3193e-50,6.7613e-06
0.005,0,20,7.0881e-50,7.9088e-06
0.005,0,21,1.3274e-48,7.5074e-06
0.005,0,22,4.939e-48,6.1609e-06
0.005,0,23,4.3991e-47,6.0968e-06
0.005,0,24,7.7858e-47,6.1387e-06
0.005,0,25,3.3259e-46,4.0125e-06
0.005,0,26,2.76e-45,4.4584e-06
0.005,0,27,1.3873e-44,4.2178e-06
0.005,0,28,7.6766e-44,4.0457e-06
0.005,0,29,2.7611e-43,4.0837e-06
0.005,0,30,3.928e-42,4.1807e-06
0.005,0,31,6.3893e-42,4.205e-06
0.005,0,32,9.5006e-42,3.2597e-06
0.005,0,33,1.2377e-40,3.4283e-06
0.005,0,34,3.653e-40,3.4448e-06
0.005,0,35,1.1848e-39,3.4419e-06
0.005,0,36,7.9949e-40,3.4367e-06
0.005,0,37,2.4528e-39,3.31e-06
0.005,0,38,1.1508e-38,3.4872e-06
0.005,0,39,1.883e-38,3.2315e-06
0.005,0,40,1.7596e-38,2.9695e-06
0.005,0,41,5.6269e-38,2.9218e-06
0.005,0,42,8.4601e-38,2.9215e-06
0.005,0,43,2.9247e-37,2.5357e-06
0.005,0,44,7.3301e-37,2.4142e-06
0.005,0,45,1.5491e-36,2.4395e-06
0.005,0,46,2.3172e-36,2.2322e-06
0.005,0,47,7.8839e-36,2.4122e-06
0.005,0,48,1.0787e-35,2.317e-06
0.005,0,49,5.6595e-35,2.3484e-06
0.005,0,50,9.015e-35,2.1917e-06
0.005,0,51,1.5528e-34,2.1044e-06
0.005,0,52,1.0785e-34,2.0317e-06
0.005,0,53,3.2913e-34,2.0532e-06
0.005,0,54,5.8024e-34,2.2131e-06
0.005,0,55,2.4466e-33,2.1059e-06
0.005,0,56,7.1942e-34,2.1652e-06
0.005,0,57,3.2027e-33,2.1268e-06
0.005,0,58,9.778e-33,1.9307e-06
0.005,0,59,2.5994e-32,1.9276e-06
0.005,0,60,1.6242e-32,1.8696e-06
0.005,0,61,4.0445e-32,1.8462e-06
0.005,0,62,7.6066e-32,1.8367e-06
0.005,0,63,1.7416e-31,1.8344e-06
0.005,0,64,3.7883e-32,1.8226e-06
0.005,0,65,1.5117e-31,1.8137e-06
0.005,0,66,6.0388e-31,1.8107e-06
0.005,0,67,8.9812e-31,1.8084e-06
0.005,0,68,3.3478e-31,1.7906e-06
0.005,0,69,1.3629e-30,1.7114e-06
0.005,0,70,2.9554e-30,1.706e-06
0.005,0,71,9.7267e-30,1.7034e-06
0.005,0,72,3.462e-30,1.6365e-06
0.005,0,73,1.1172e-29,1.6332e-06
0.005,0,74,1.9431e-29,1.6301e-06
0.005,0,75,3.4871e-29,1.6278e-06
0.005,0,76,2.2194e-29,1.6251e-06
0.005,0,77,2.0597e-29,1.6169e-06
0.005,0,78,2.1982e-29,1.6133e-06
0.005,0,79,4.3122e-29,1.6103e-06
0.005,0,80,3.1111e-28,1.6083e-06
0.005,0,81,5.1982e-28,1.6054e-06
0.005,0,82,1.3685e-27,1.6033e-06
0.005,0,83,2.2532e-27,1.5988e-06
0.005,0,84,1.0991e-27,1.5906e-06
0.005,0,85,3.0328e-27,1.4483e-06
0.005,0,86,5.6765e-27,1.4465e-06
0.005,0,87,1.5206e-26,1.4446e-06
0.005,0,88,1.2025e-26,1.4424e-06
0.005,0,89,2.2349e-26,1.4405e-06
0.005,0,90,4.7176e-26,1.3104e-06
0.005,0,91,5.3646e-26,1.3084e-06
0.005,0,92,1.2583e-25,1.3054e-06
0.005,0,93,2.1439e-25,1.3037e-06
0.005,0,94,4.3167e-25,1.2459e-06
0.005,0,95,8.5609e-25,1.2424e-06
0.005,0,96,7.6292e-25,1.2438e-06
0.005,0,97,1.3933e-24,1.1931e-06
0.005,0,98,2.2226e-24,1.1914e-06
0.005,0,99,3.1605e-24,1.1563e-06
0.005,0,100,3.5114e-24,1.1236e-06
