Reconstruction lambda,SNR,Data points,Fisher information, RNMSE
0.005,0,1,0,1.0697
0.005,0,2,4.8208e-278,326.8267
0.005,0,3,9.3846e-245,1.0687
0.005,0,4,1.9841e-222,1.015
0.005,0,5,1.1249e-204,0.77282
0.005,0,6,2.7105e-187,2.6364e-05
0.005,0,7,1.1497e-170,2.0345e-05
0.005,0,8,6.9235e-156,1.1541e-05
0.005,0,9,1.3416e-140,1.3782e-05
0.005,0,10,1.2391e-125,1.1046e-05
0.005,0,1,0,1.0471
0.005,0,2,4.1926e-268,3.3001
0.005,0,3,3.3977e-242,3.3243
0.005,0,4,3.2566e-221,1.1659
0.005,0,5,6.6736e-204,1.1185
0.005,0,6,7.7732e-187,5.759e-05
0.005,0,7,1.776e-170,2.891e-05
0.005,0,8,4.4682e-156,2.468e-05
0.005,0,9,1.6951e-141,1.6618e-05
0.005,0,10,8.077e-127,1.195e-05
0.005,0,1,0,1.0186
0.005,0,2,2.2487e-270,2.5234
0.005,0,3,7.523e-243,2.0566
0.005,0,4,1.2584e-221,4.4793
0.005,0,5,1.3072e-202,1.0039
0.005,0,6,1.0409e-188,0.7731
0.005,0,7,1.0763e-174,0.76934
0.005,0,8,1.0127e-160,0.00011659
0.005,0,9,5.6331e-148,0.00011652
0.005,0,10,1.9795e-135,7.4352e-05
0.005,0,1,0,1.0455
0.005,0,2,4.5861e-277,104.8823
0.005,0,3,9.4681e-242,1.5023
0.005,0,4,9.6792e-222,1.1838
0.005,0,5,1.4297e-200,9.499e-05
0.005,0,6,1.0853e-185,0.00010737
0.005,0,7,6.7969e-172,3.7228e-05
0.005,0,8,3.2151e-155,3.6419e-05
0.005,0,9,4.1397e-141,3.1056e-05
0.005,0,10,3.0832e-127,3.9043e-05
0.005,0,1,0,1.0885
0.005,0,2,1.8649e-279,403.8634
0.005,0,3,5.6047e-246,1.0167
0.005,0,4,3.6804e-223,1.2327
0.005,0,5,1.8301e-205,1.1485
0.005,0,6,4.0922e-188,3.6623e-05
0.005,0,7,8.9982e-172,3.5242e-05
0.005,0,8,1.1433e-155,3.5016e-05
0.005,0,9,7.7434e-141,1.7627e-05
0.005,0,10,1.4904e-126,1.2345e-05
0.005,0,1,0,1.0382
0.005,0,2,8.5838e-275,62.0213
0.005,0,3,1.3217e-246,1.0037
0.005,0,4,1.3745e-222,1.2617
0.005,0,5,2.4593e-204,1.6966
0.005,0,6,8.6969e-188,0.00013499
0.005,0,7,1.0838e-171,3.3659e-05
0.005,0,8,2.1285e-156,2.7623e-05
0.005,0,9,1.6059e-141,2.6153e-05
0.005,0,10,1.1304e-126,2.6062e-05
0.005,0,1,0,1.0566
0.005,0,2,4.7708e-282,1.3564
0.005,0,3,4.8464e-250,6.1321
0.005,0,4,1.4169e-226,0.73407
