Reconstruction lambda,SNR,Data length,Log MSE on Weights
0.1,1000,1,1.2443
0.1,1000,2,2.7131
0.1,1000,3,2.6501
0.1,1000,4,3.4134
0.1,1000,5,3.2551
0.1,1000,6,2.526
0.1,1000,7,2.3491
0.1,1000,8,2.5733
0.1,1000,9,2.8487
0.1,1000,10,3.0336
0.1,1000,11,3.0341
0.1,1000,12,3.0347
0.1,1000,13,3.0353
0.1,1000,14,3.0358
0.1,1000,15,3.0363
0.1,1000,16,3.0367
0.1,1000,17,3.0372
0.1,1000,18,3.0376
0.1,1000,19,3.0379
0.1,1000,20,3.0383
0.1,1000,21,3.0387
0.1,1000,22,3.039
0.1,1000,23,3.3329
0.1,1000,24,3.3878
0.1,1000,25,3.4363
0.1,1000,26,3.4955
0.1,1000,27,3.5566
0.1,1000,28,3.6112
0.1,1000,29,3.3095
0.1,1000,30,3.0403
0.1,1000,31,3.0403
0.1,1000,32,3.0403
0.1,1000,33,3.0403
0.1,1000,34,3.0403
0.1,1000,35,3.0402
0.1,1000,36,3.04
0.1,1000,37,3.0399
0.1,1000,38,3.0397
0.1,1000,39,3.0395
0.1,1000,40,3.0392
0.1,1000,41,3.039
0.1,1000,42,3.0387
0.1,1000,43,3.0383
0.1,1000,44,3.038
0.1,1000,45,3.0376
0.1,1000,46,3.0372
0.1,1000,47,3.0367
0.1,1000,48,3.0362
0.1,1000,49,3.0357
0.1,1000,50,2.9855
0.1,1000,51,2.8385
0.1,1000,52,2.8369
0.1,1000,53,2.8369
0.1,1000,54,2.8368
0.1,1000,55,2.7665
0.1,1000,56,2.7803
0.1,1000,57,2.793
0.1,1000,58,2.8039
0.1,1000,59,2.8252
0.1,1000,60,2.8875
0.1,1000,61,2.8316
0.1,1000,62,2.7743
0.1,1000,63,2.7765
0.1,1000,64,2.7781
0.1,1000,65,2.7794
0.1,1000,66,2.7804
0.1,1000,67,2.7803
0.1,1000,68,2.7393
0.1,1000,69,2.7377
0.1,1000,70,2.7883
0.1,1000,71,2.7993
0.1,1000,72,2.8117
0.1,1000,73,2.9303
0.1,1000,74,1.5842
0.1,1000,75,1.5764
0.1,1000,76,1.5696
0.1,1000,77,1.5632
0.1,1000,78,1.5569
0.1,1000,79,1.5502
0.1,1000,80,1.5439
0.1,1000,81,1.5374
0.1,1000,82,1.5276
0.1,1000,83,1.5191
0.1,1000,84,1.5115
0.1,1000,85,1.5039
0.1,1000,86,1.4789
0.1,1000,87,1.4723
0.1,1000,88,1.4657
0.1,1000,89,1.4592
0.1,1000,90,1.453
0.1,1000,91,1.447
0.1,1000,92,1.4413
0.1,1000,93,1.4359
0.1,1000,94,1.4304
0.1,1000,95,1.4251
0.1,1000,96,1.4202
0.1,1000,97,1.4152
0.1,1000,98,1.4102
0.1,1000,99,1.4055
