Reconstruction lambda,SNR,Data length,MNSE
0.005,1000,1,1.0799
0.005,1000,10,4.7393
0.005,1000,20,2.075
0.005,1000,30,0.99716
0.005,1000,40,0.997
0.005,1000,50,0.997
0.005,1000,60,0.99716
0.005,1000,70,0.30829
0.005,1000,80,0.29685
0.005,1000,90,0.99716
0.005,1000,100,0.99716
0.005,1000,1,0.99482
0.005,1000,10,8.7289
0.005,1000,20,3.1269
0.005,1000,30,0.90463
0.005,1000,40,0.82014
0.005,1000,50,0.82007
0.005,1000,60,0.1816
0.005,1000,70,4.6424e-05
0.005,1000,80,1.7838e-05
0.005,1000,90,1.5197e-05
0.005,1000,100,1.3653e-05
0.005,1000,1,1.0125
0.005,1000,10,3.2971
0.005,1000,20,1.2772
0.005,1000,30,1.9711
0.005,1000,40,1.1847
0.005,1000,50,1.1421
0.005,1000,60,2.5927
0.005,1000,70,2.2217
0.005,1000,80,2.1996
0.005,1000,90,2.1159
0.005,1000,100,1.1255
0.005,1000,1,1.0307
0.005,1000,10,14.5861
0.005,1000,20,1.0248
0.005,1000,30,0.72085
0.005,1000,40,0.5603
0.005,1000,50,0.51139
0.005,1000,60,0.48239
0.005,1000,70,0.42704
0.005,1000,80,0.37606
0.005,1000,90,0.39191
0.005,1000,100,0.37429
0.005,1000,1,1.0129
0.005,1000,10,3.0166
0.005,1000,20,1.3815
0.005,1000,30,0.82193
0.005,1000,40,0.061893
0.005,1000,50,0.6856
0.005,1000,60,0.0019658
0.005,1000,70,0.0018426
0.005,1000,80,0.0018521
0.005,1000,90,0.0018788
0.005,1000,100,0.0018796
0.005,1000,1,1.0401
0.005,1000,10,0.9997
0.005,1000,20,0.89313
0.005,1000,30,0.90848
0.005,1000,40,1.1309
0.005,1000,50,0.00022163
0.005,1000,60,5.582e-05
0.005,1000,70,5.0298e-05
0.005,1000,80,4.7725e-05
0.005,1000,90,4.4098e-05
0.005,1000,100,3.6155e-05
0.005,1000,1,1.0191
0.005,1000,10,2.976
0.005,1000,20,0.93166
0.005,1000,30,0.60945
0.005,1000,40,0.46592
0.005,1000,50,0.38871
0.005,1000,60,0.47745
0.005,1000,70,0.45706
0.005,1000,80,0.45353
0.005,1000,90,0.44977
0.005,1000,100,0.46045
0.005,1000,1,1.0251
0.005,1000,10,4.3514
0.005,1000,20,2.0288
0.005,1000,30,1.0003
0.005,1000,40,0.014185
0.005,1000,50,0.00031888
0.005,1000,60,0.00012457
0.005,1000,70,9.7777e-05
0.005,1000,80,4.9979e-05
0.005,1000,90,4.0759e-05
0.005,1000,100,4.2222e-05
0.005,1000,1,1.0108
0.005,1000,10,0.99969
0.005,1000,20,1.0001
0.005,1000,30,0.84411
0.005,1000,40,0.77242
0.005,1000,50,0.49283
0.005,1000,60,0.49339
0.005,1000,70,0.49196
0.005,1000,80,0.4911
0.005,1000,90,0.49092
0.005,1000,100,0.4912
0.005,1000,1,1.0206
0.005,1000,10,1.0992
0.005,1000,20,0.88991
0.005,1000,30,0.90253
0.005,1000,40,0.80709
