Reconstruction lambda,SNR,Data length,MNSE
0.005,1000,1,1.09
0.005,1000,2,123.747
0.005,1000,3,1.917
0.005,1000,4,1.7371
0.005,1000,5,1.9299
0.005,1000,6,2.7291
0.005,1000,7,56.1639
0.005,1000,8,63.519
0.005,1000,9,20.4002
0.005,1000,10,180.1697
0.005,1000,11,377.24
0.005,1000,12,1595.8479
0.005,1000,13,1848.8357
0.005,1000,14,142.7782
0.005,1000,15,150.9701
0.005,1000,16,1.6196
0.005,1000,17,1.3182
0.005,1000,18,1.1316
0.005,1000,19,1.0922
0.005,1000,20,22.317
0.005,1000,21,1.0874
0.005,1000,22,20.208
0.005,1000,23,3.453
0.005,1000,24,0.99709
0.005,1000,25,29.5119
0.005,1000,26,12.4279
0.005,1000,27,7.5999
0.005,1000,28,1.5952
0.005,1000,29,0.99709
0.005,1000,30,0.99709
0.005,1000,31,0.99709
0.005,1000,32,1.0197
0.005,1000,33,0.99709
0.005,1000,34,0.99709
0.005,1000,35,0.99709
0.005,1000,36,0.99709
0.005,1000,37,0.99709
0.005,1000,38,0.98734
0.005,1000,39,0.96088
0.005,1000,40,0.92786
0.005,1000,41,0.8803
0.005,1000,42,0.83683
0.005,1000,43,1.0128
0.005,1000,44,1.006
0.005,1000,45,0.98916
0.005,1000,46,0.95721
0.005,1000,47,1.2596
0.005,1000,48,0.96012
0.005,1000,49,0.95854
0.005,1000,50,0.95296
0.005,1000,51,0.95155
0.005,1000,52,0.95146
0.005,1000,53,2.8482
0.005,1000,54,6.5391
0.005,1000,55,8.6973
0.005,1000,56,0.022301
0.005,1000,57,0.018412
0.005,1000,58,0.015979
0.005,1000,59,39.6348
0.005,1000,60,0.013062
0.005,1000,61,0.012089
0.005,1000,62,0.011425
0.005,1000,63,0.01097
0.005,1000,64,0.010654
0.005,1000,65,0.010437
0.005,1000,66,0.010294
0.005,1000,67,0.010201
0.005,1000,68,0.010141
0.005,1000,69,0.010105
0.005,1000,70,0.010091
0.005,1000,71,0.010086
0.005,1000,72,0.010081
0.005,1000,73,0.010077
0.005,1000,74,0.010069
0.005,1000,75,0.010064
0.005,1000,76,0.010062
0.005,1000,77,0.010064
0.005,1000,78,0.010066
0.005,1000,79,0.010068
0.005,1000,80,0.010075
0.005,1000,81,0.010085
0.005,1000,82,0.010095
0.005,1000,83,0.010106
0.005,1000,84,0.010119
0.005,1000,85,0.010132
0.005,1000,86,0.010149
0.005,1000,87,0.010162
0.005,1000,88,0.010175
0.005,1000,89,0.010184
0.005,1000,90,0.010192
0.005,1000,91,0.010198
0.005,1000,92,0.010206
0.005,1000,93,0.010213
0.005,1000,94,0.010221
0.005,1000,95,0.010227
0.005,1000,96,0.010233
0.005,1000,97,0.010238
0.005,1000,98,0.010243
0.005,1000,99,0.010248
0.005,1000,100,0.010251
0.005,1000,1,1.0161
0.005,1000,2,75.1542
0.005,1000,3,11.1228
0.005,1000,4,1.1736
0.005,1000,5,1.0061
0.005,1000,6,1.3531
0.005,1000,7,2.4644
0.005,1000,8,2.8
0.005,1000,9,19.2118
0.005,1000,10,32.969
0.005,1000,11,3.2154
0.005,1000,12,2.4029
0.005,1000,13,6.9626
0.005,1000,14,1.1421
0.005,1000,15,1.2042
0.005,1000,16,1.2212
0.005,1000,17,1.3747
0.005,1000,18,1.3687
0.005,1000,19,0.93185
0.005,1000,20,0.93178
0.005,1000,21,1.1721
0.005,1000,22,1.1547
0.005,1000,23,15.453
0.005,1000,24,13.7843
0.005,1000,25,10.435
0.005,1000,26,1.2527
0.005,1000,27,0.92495
0.005,1000,28,0.92484
0.005,1000,29,0.92472
0.005,1000,30,0.55454
0.005,1000,31,0.029596
0.005,1000,32,0.028363
0.005,1000,33,0.027702
0.005,1000,34,0.02701
0.005,1000,35,0.026581
0.005,1000,36,0.026033
0.005,1000,37,0.42645
0.005,1000,38,0.50604
0.005,1000,39,1.9984
0.005,1000,40,1.9781
0.005,1000,41,1.9659
