Reconstruction lambda,SNR,Data length,RNMSE1,RNMSE2,Sparsity
0.005,0,1,1.0807,1.6529,81
0.005,0,2,1.0008,1.0299,11
0.005,0,3,1.0011,1.0365,9
0.005,0,4,1.0002,1.0198,8
0.005,0,5,1.0004,1.0197,5
0.005,0,6,1.0002,1.0197,5
0.005,0,7,1.0002,1.0197,5
0.005,0,8,1.0002,1.0197,5
0.005,0,9,1.0002,1.0197,5
0.005,0,10,1.0002,1.0197,5
0.005,0,11,1.0002,1.0197,5
0.005,0,12,1.0002,1.0197,5
0.005,0,13,1.0002,1.0197,5
0.005,0,14,1.0002,1.0197,5
0.005,0,15,1.0002,1.0197,5
0.005,0,16,1.0002,1.0197,4
0.005,0,17,1.0002,1.0197,5
0.005,0,18,1.0002,1.0197,4
0.005,0,19,1.0002,1.0197,4
0.005,0,20,1.0269,1.0732,6
0.005,0,21,1.0189,1.0058,6
0.005,0,22,1.0134,1.0058,6
0.005,0,23,1.0103,0.99206,7
0.005,0,24,1.0086,1.0058,7
0.005,0,25,1.0078,1.0058,7
0.005,0,26,1.0079,1.0058,7
0.005,0,27,1.0118,1.0058,7
0.005,0,28,1.0625,1.0058,7
0.005,0,29,11.7389,12.2721,6
0.005,0,30,15.5191,15.9892,6
0.005,0,31,3.7278,4.0316,6
0.005,0,32,3.4122,3.65,6
0.005,0,33,3.2184,3.4322,7
0.005,0,34,18.0023,18.4092,7
0.005,0,35,21.5267,21.8512,5
0.005,0,36,3.4266,3.6293,6
0.005,0,37,4.4173,4.6615,6
0.005,0,38,17.004,17.3846,6
0.005,0,39,2.195,2.271,6
0.005,0,40,3.0393,3.1896,6
0.005,0,41,61.2588,61.578,5
0.005,0,42,19.6415,19.9288,6
0.005,0,43,46.1706,46.4558,6
0.005,0,44,17.1968,17.4851,7
0.005,0,45,22.7829,22.9783,5
0.005,0,46,106.7251,105.1454,3
0.005,0,47,107.0882,105.4999,3
0.005,0,48,107.391,105.7953,3
0.005,0,49,107.5443,105.945,3
0.005,0,50,107.8553,106.2485,3
0.005,0,51,108.1419,106.5282,3
0.005,0,52,96.2229,95.6535,4
0.005,0,53,37.0477,36.8228,5
0.005,0,54,34.1537,34.146,5
0.005,0,55,38.5161,38.3123,5
0.005,0,56,42.7838,42.4123,5
0.005,0,57,44.5343,44.086,5
0.005,0,58,14.8096,14.7819,6
0.005,0,59,1.04,1.0058,6
0.005,0,60,1.3173,1.1159,6
0.005,0,61,1.0208,1.0058,6
0.005,0,62,1.207,1.0058,6
0.005,0,63,1.1223,1.0058,6
0.005,0,64,2.7775,2.8103,9
0.005,0,65,3.3661,3.4378,6
0.005,0,66,1.0538,1.0058,7
0.005,0,67,1.0006,1.0058,7
0.005,0,68,1,1.0058,6
0.005,0,69,1,1.0058,5
0.005,0,70,1,1.0058,5
0.005,0,71,1,1.0058,6
0.005,0,72,1,1.0058,5
0.005,0,73,1,1.0058,5
0.005,0,74,1,1.0058,7
0.005,0,75,1,1.0058,8
0.005,0,76,1,1.0058,8
0.005,0,77,1.0001,1.0058,8
0.005,0,78,1.0001,1.0058,6
0.005,0,79,1,1.0058,6
0.005,0,80,1,1.0056,8
0.005,0,81,1.0002,1.0057,9
0.005,0,82,1,1.0058,5
0.005,0,83,1,1.0058,5
0.005,0,84,1,1.0058,5
0.005,0,85,1,1.0058,6
0.005,0,86,1,1.0058,4
0.005,0,87,1,1.0058,4
0.005,0,88,1,1.0058,4
0.005,0,89,1,1.0058,4
0.005,0,90,1,1.0058,4
0.005,0,91,1,1.0058,5
0.005,0,92,1,1.0058,5
0.005,0,93,1,1.0058,4
0.005,0,94,1,1.0058,5
0.005,0,95,1,1.0058,6
0.005,0,96,1,1.0058,6
0.005,0,97,1,1.0058,5
0.005,0,98,1,1.0058,5
0.005,0,99,1,1.0058,4
0.005,0,100,1,1.0058,4
0.005,0,101,1,1.0058,6
0.005,0,102,1,1.0058,6
0.005,0,103,1,1.0058,5
0.005,0,104,1,1.0058,7
0.005,0,105,1,1.0058,6
0.005,0,106,1,1.0058,7
0.005,0,107,1,1.0058,4
0.005,0,108,1.0002,1.0058,8
0.005,0,109,1.0001,1.0058,8
0.005,0,110,1,1.0058,8
0.005,0,111,1,1.0058,6
0.005,0,112,1,1.0058,5
0.005,0,113,1,1.0058,5
0.005,0,114,1,1.0058,6
0.005,0,115,1,1.0058,5
0.005,0,116,1,1.0058,5
0.005,0,117,1,1.0058,5
0.005,0,118,1,1.0058,5
0.005,0,119,1,1.0058,6
0.005,0,120,1,1.0058,6
0.005,0,121,1,1.0058,5
0.005,0,122,1,1.0058,6
0.005,0,123,1,1.0058,6
0.005,0,124,0.99999,1.0058,8
0.005,0,125,0.96939,0.97597,8
0.005,0,126,0.93707,0.9446,9
0.005,0,127,0.91045,0.91866,8
0.005,0,128,0.90631,0.9148,8
0.005,0,129,0.8702,0.8796,8
0.005,0,130,0.879,0.88839,8
0.005,0,131,0.84308,0.85334,9
0.005,0,132,0.60087,0.61605,7
0.005,0,133,0.56043,0.57655,7
0.005,0,134,0.53097,0.54777,7
0.005,0,135,0.49857,0.51611,7
0.005,0,136,0.47616,0.49421,6
0.005,0,137,0.44747,0.46617,6
0.005,0,138,0.42242,0.44167,6
0.005,0,139,0.40148,0.4212,7
0.005,0,140,0.38233,0.40248,8
0.005,0,141,0.36608,0.38657,8
0.005,0,142,0.34925,0.37011,7
0.005,0,143,0.33486,0.35603,7
0.005,0,144,0.32094,0.3424,6
0.005,0,145,0.30867,0.33038,6
0.005,0,146,0.29444,0.31645,7
0.005,0,147,0.54836,0.57557,7
0.005,0,148,0.27495,0.29735,6
0.005,0,149,0.26651,0.28907,6
0.005,0,150,0.26726,0.28155,7
0.005,0,151,0.31153,0.3089,7
0.005,0,152,0.35454,0.3575,7
0.005,0,153,0.42604,0.43818,7
0.005,0,154,0.53878,0.56048,7
0.005,0,155,0.67202,0.70584,7
0.005,0,156,0.85346,0.87099,8
0.005,0,157,0.9335,0.96066,8
0.005,0,158,0.97036,0.997,8
0.005,0,159,0.99456,1.0221,8
0.005,0,160,1.0006,1.028,8
0.005,0,161,1.0011,1.0287,7
0.005,0,162,1.001,1.0297,8
0.005,0,163,1.0011,1.0313,8
0.005,0,164,1.0012,1.033,8
0.005,0,165,1.0013,1.0343,9
0.005,0,166,1.0014,1.0358,8
0.005,0,167,1.0015,1.0368,8
0.005,0,168,1.0017,1.0402,8
0.005,0,169,1.0018,1.0421,8
0.005,0,170,1.0021,1.0449,8
0.005,0,171,1.0021,1.0464,8
0.005,0,172,1.0057,1.0845,7
