Reconstruction lambda,SNR,Data length,Log MSE on Weights
0,1000,500,Ill-conditioned
0.2,1000,500,Ill-conditioned
0.4,1000,500,Ill-conditioned
0.6,1000,500,Ill-conditioned
0.8,1000,500,Ill-conditioned
1,1000,500,Ill-conditioned
1.2,1000,500,Ill-conditioned
1.4,1000,500,Ill-conditioned
1.6,1000,500,Ill-conditioned
1.8,1000,500,Ill-conditioned
2,1000,500,Ill-conditioned
2.2,1000,500,Ill-conditioned
2.4,1000,500,Ill-conditioned
2.6,1000,500,Ill-conditioned
2.8,1000,500,Ill-conditioned
3,1000,500,Ill-conditioned
3.2,1000,500,Ill-conditioned
3.4,1000,500,Ill-conditioned
3.6,1000,500,Ill-conditioned
3.8,1000,500,Ill-conditioned
4,1000,500,Ill-conditioned
4.2,1000,500,Ill-conditioned
4.4,1000,500,Ill-conditioned
4.6,1000,500,Ill-conditioned
4.8,1000,500,Ill-conditioned
5,1000,500,Ill-conditioned
5.2,1000,500,Ill-conditioned
5.4,1000,500,Ill-conditioned
5.6,1000,500,Ill-conditioned
5.8,1000,500,Ill-conditioned
6,1000,500,Ill-conditioned
6.2,1000,500,Ill-conditioned
6.4,1000,500,Ill-conditioned
6.6,1000,500,Ill-conditioned
6.8,1000,500,Ill-conditioned
7,1000,500,Ill-conditioned
7.2,1000,500,Ill-conditioned
7.4,1000,500,Ill-conditioned
7.6,1000,500,Ill-conditioned
7.8,1000,500,Ill-conditioned
8,1000,500,Ill-conditioned
8.2,1000,500,Ill-conditioned
8.4,1000,500,Ill-conditioned
8.6,1000,500,Ill-conditioned
8.8,1000,500,Ill-conditioned
9,1000,500,Ill-conditioned
9.2,1000,500,Ill-conditioned
9.4,1000,500,Ill-conditioned
9.6,1000,500,Ill-conditioned
9.8,1000,500,Ill-conditioned
10,1000,500,Ill-conditioned
