Reconstruction lambda,SNR,Data length,Log MSE on Weights
0.1,1000,10,9.6886e-11
0.1,1000,20,3.9562e-12
0.1,1000,30,1.0154e-10
0.1,1000,40,3.9575e-12
0.1,1000,50,-3.4428e-13
0.1,1000,60,0.12741
0.1,1000,70,0.16125
0.1,1000,80,6.9492e-09
0.1,1000,90,1.1482e-11
0.1,1000,100,0.21161
0.1,1000,110,1.6628e-10
0.1,1000,120,0.21176
0.1,1000,130,0.21674
0.1,1000,140,7.0503e-09
0.1,1000,150,5.6244e-09
0.1,1000,160,0.21565
0.1,1000,170,2.7389e-09
0.1,1000,180,0.2146
0.1,1000,190,0.20007
0.1,1000,200,0.19141
0.1,1000,210,0.21533
0.1,1000,220,0.20246
0.1,1000,230,1.149e-08
0.1,1000,240,0.20429
0.1,1000,250,3.9141e-09
0.1,1000,260,0.18968
0.1,1000,270,0.19029
0.1,1000,280,0.21532
0.1,1000,290,0.18464
0.1,1000,300,0.21099
0.1,1000,310,0.13455
0.1,1000,320,0.21626
0.1,1000,330,0.25271
0.1,1000,340,0.040941
0.1,1000,350,0.26869
0.1,1000,360,0.14353
0.1,1000,370,0.0093695
0.1,1000,380,0.20896
0.1,1000,390,0.21829
0.1,1000,400,0.21392
0.1,1000,410,0.22044
0.1,1000,420,0.20325
0.1,1000,430,0.20722
0.1,1000,440,0.19002
0.1,1000,450,0.18661
0.1,1000,460,0.25754
0.1,1000,470,0.11492
0.1,1000,480,0.22866
0.1,1000,490,0.18178
0.1,1000,500,0.23368
0.1,1000,510,0.21006
0.1,1000,520,0.21621
0.1,1000,530,0.042082
0.1,1000,540,0.21343
0.1,1000,550,0.36874
0.1,1000,560,0.21693
0.1,1000,570,0.26592
0.1,1000,580,0.24077
0.1,1000,590,0.21948
0.1,1000,600,0.19281
0.1,1000,610,0.24087
0.1,1000,620,0.21199
0.1,1000,630,0.20597
0.1,1000,640,0.49703
0.1,1000,650,0.50521
0.1,1000,660,0.22478
0.1,1000,670,0.22881
0.1,1000,680,0.35085
0.1,1000,690,0.21768
0.1,1000,700,0.29997
0.1,1000,710,0.24362
0.1,1000,720,0.43139
0.1,1000,730,0.21578
0.1,1000,740,0.25388
0.1,1000,750,0.21411
0.1,1000,760,0.33809
0.1,1000,770,0.32627
0.1,1000,780,0.2121
0.1,1000,790,0.21469
0.1,1000,800,0.2619
0.1,1000,810,0.36732
0.1,1000,820,0.23909
0.1,1000,830,0.395
0.1,1000,840,0.14664
0.1,1000,850,0.43832
0.1,1000,860,0.23879
0.1,1000,870,0.37114
0.1,1000,880,0.30388
0.1,1000,890,0.34886
0.1,1000,900,0.64893
0.1,1000,910,0.23974
0.1,1000,920,0.36477
0.1,1000,930,0.42111
0.1,1000,940,0.47798
0.1,1000,950,0.38029
0.1,1000,960,0.38658
0.1,1000,970,0.33939
0.1,1000,980,0.28927
0.1,1000,990,0.33022
0.1,1000,1000,0.50379
0.1,1000,1010,0.45669
0.1,1000,1020,7.341e-11
0.1,1000,1030,0.31505
0.1,1000,1040,0.48037
0.1,1000,1050,0.33964
0.1,1000,1060,0.35252
0.1,1000,1070,0.40228
0.1,1000,1080,0.34647
0.1,1000,1090,0.37096
0.1,1000,1100,0.68435
0.1,1000,1110,0.49485
0.1,1000,1120,0.40166
0.1,1000,1130,0.43302
0.1,1000,1140,0.33246
0.1,1000,1150,0.41318
0.1,1000,1160,0.43618
0.1,1000,1170,0.42585
0.1,1000,1180,0.37406
0.1,1000,1190,0.45704
0.1,1000,1200,0.28435
0.1,1000,1210,0.50591
0.1,1000,1220,0.45588
0.1,1000,1230,0.44735
0.1,1000,1240,0.525
0.1,1000,1250,0.39637
0.1,1000,1260,0.49226
0.1,1000,1270,0.30233
0.1,1000,1280,0.49817
0.1,1000,1290,0.46344
0.1,1000,1300,0.32328
0.1,1000,1310,0.43019
0.1,1000,1320,0.35879
0.1,1000,1330,0.46332
0.1,1000,1340,0.51452
0.1,1000,1350,0.46554
0.1,1000,1360,0.48167
0.1,1000,1370,0.33192
0.1,1000,1380,0.42434
0.1,1000,1390,0.41357
0.1,1000,1400,0.45439
0.1,1000,1410,0.26134
0.1,1000,1420,0.41426
0.1,1000,1430,0.39935
0.1,1000,1440,0.33175
0.1,1000,1450,0.41759
0.1,1000,1460,0.36052
0.1,1000,1470,0.45622
0.1,1000,1480,0.40466
0.1,1000,1490,0.30993
0.1,1000,1500,0.41057
0.1,1000,1510,0.12191
0.1,1000,1520,0.26824
0.1,1000,1530,0.13019
0.1,1000,1540,0.472
0.1,1000,1550,0.50206
0.1,1000,1560,0.43889
0.1,1000,1570,0.49517
0.1,1000,1580,0.52972
0.1,1000,1590,0.48666
0.1,1000,1600,0.35925
0.1,1000,1610,0.41375
0.1,1000,1620,0.11173
0.1,1000,1630,0.48725
0.1,1000,1640,0.11773
0.1,1000,1650,0.11015
0.1,1000,1660,0.11297
0.1,1000,1670,0.40158
0.1,1000,1680,0.48018
0.1,1000,1690,0.47743
0.1,1000,1700,0.3589
0.1,1000,1710,0.76604
0.1,1000,1720,0.60852
0.1,1000,1730,0.46292
0.1,1000,1740,0.48193
0.1,1000,1750,0.45235
0.1,1000,1760,0.69401
0.1,1000,1770,0.11406
0.1,1000,1780,0.4891
0.1,1000,1790,0.11404
0.1,1000,1800,0.50549
0.1,1000,1810,0.464
0.1,1000,1820,0.50919
0.1,1000,1830,0.45759
0.1,1000,1840,0.44638
0.1,1000,1850,0.11919
0.1,1000,1860,0.47268
0.1,1000,1870,0.46829
0.1,1000,1880,0.4608
0.1,1000,1890,0.11101
0.1,1000,1900,0.11342
0.1,1000,1910,0.46609
0.1,1000,1920,0.11077
0.1,1000,1930,0.66176
0.1,1000,1940,0.12817
0.1,1000,1950,0.48791
0.1,1000,1960,0.11748
0.1,1000,1970,0.48909
0.1,1000,1980,0.50522
0.1,1000,1990,0.11499
0.1,1000,2000,0.11655
