Reconstruction lambda,SNR,Data length,Log MSE on Weights
0,0.01,1,1.3835
0,0.01,2,1.6014
0,0.01,3,3.8279
0,0.01,4,10.0894
0,0.01,5,12.2748
0,0.01,6,13.2862
0,0.01,7,15.6156
0,0.01,8,15.0322
0,0.01,9,11.857
0,0.01,10,13.2844
0,0.01,11,12.5663
0,0.01,12,13.5585
0,0.01,13,12.5598
0,0.01,14,20.3874
0,0.01,15,11.8159
0,0.01,16,22.6722
0,0.01,17,23.0826
0,0.01,18,24.372
0,0.01,19,24.4653
0,0.01,20,23.6535
0,0.01,21,18.6693
0,0.01,22,20.8403
0,0.01,23,20.3804
0,0.01,24,20.2925
0,0.01,25,Ill-conditioned
0,0.01,26,21.0542
0,0.01,27,19.3187
0,0.01,28,18.562
0,0.01,29,18.5409
0,0.01,30,18.8277
0,0.01,31,18.8358
0,0.01,32,19.2088
0,0.01,33,19.1973
0,0.01,34,18.2752
0,0.01,35,17.0117
0,0.01,36,17.3442
0,0.01,37,17.5175
0,0.01,38,17.8295
0,0.01,39,17.765
0,0.01,40,17.5138
0,0.01,41,14.4241
0,0.01,42,14.9334
0,0.01,43,16.4427
0,0.01,44,16.0222
0,0.01,45,15.0122
0,0.01,46,15.4795
0,0.01,47,15.5098
0,0.01,48,15.8812
0,0.01,49,14.2619
0,0.01,50,13.303
0,0.01,51,13.1915
0,0.01,52,13.2797
0,0.01,53,12.917
0,0.01,54,13.0004
0,0.01,55,12.8757
0,0.01,56,12.4654
0,0.01,57,12.5471
0,0.01,58,12.2515
0,0.01,59,12.4425
0,0.01,60,12.8547
0,0.01,61,12.4786
0,0.01,62,12.5003
0,0.01,63,12.2327
0,0.01,64,11.5335
0,0.01,65,10.3865
0,0.01,66,12.3304
0,0.01,67,11.426
0,0.01,68,11.7039
0,0.01,69,11.779
0,0.01,70,11.0779
0,0.01,71,11.1211
0,0.01,72,11.1541
0,0.01,73,10.3498
0,0.01,74,8.7095
0,0.01,75,9.0306
0,0.01,76,8.4729
0,0.01,77,8.7413
0,0.01,78,8.7252
0,0.01,79,8.9027
0,0.01,80,9.3631
0,0.01,81,10.3657
0,0.01,82,10.4259
0,0.01,83,10.397
0,0.01,84,10.2778
0,0.01,85,10.3603
